South Riverdale,70,9.6,25640,2670.833333,0.616075255,0,0.064174506,
Wexford/Maryvale,119,10.2,27020,2649.019608,1.432132979,131557,0.140405194,
Guildwood,140,3.8,9815,2582.894737,0.119007268,36,0.031317702,
Highland Creek,134,5.1,13100,2568.627451,0.13033001,0,0.025554904,
Yorkdale-Glen Park,31,5.9,14685,2488.983051,0.173972028,496649,0.029486784,
St.Andrew-Windfields,40,7.3,17955,2459.589041,0.981964797,55313,0.134515726,
Centennial Scarborough,133,5.4,13100,2425.925926,0.2397495,236731,0.044398056,
Alderwood,20,5,11900,2380,0.250098151,16092,0.05001963,
Downsview-Roding-CFB,26,14.9,34650,2325.503356,0.512021903,222837,0.034363886,
Islington-City Centre West,14,16.4,38070,2321.341463,14.27145522,56778,0.870210684,
Cliffcrest,123,7.1,15700,2211.267606,0.690798137,66889,0.097295512,
Eringate-Centennial-West Deane,11,8.6,18805,2186.627907,0.830824845,311,0.09660754,
Princess-Rosethorn,10,5.2,11200,2153.846154,0.194054785,10030,0.037318228,
York University Heights,27,13.2,27715,2099.621212,1.854249005,0,0.140473409,
Pelmo Park-Humberlea,23,4.2,8705,2072.619048,1.993607468,371626,0.474668445,
Humber Summit,21,7.9,12530,1586.075949,1.354011781,2357,0.171393896,
Rouge,131,37.6,45905,1220.87766,0.233048669,4410,0.006198103,
West Humber-Clairville,1,30.09,34100,1133.266866,0.28632843,0,0.009515734,
Bridle Path-Sunnybrook-York Mills,41,8.8,8715,990.3409091,0.697039334,0,0.079209015,
